PC1,PC2,Predicted_State,Actual_State
-0.0849119025089368,-0.361222861213418,1,1
-0.3100334274570741,-0.6107017594375378,1,1
-0.2998959885616578,-0.4479458187319993,1,1
0.0936610984297225,-0.2490285677681664,1,1
-0.0743461842447657,-0.9680742293912862,0,0
-0.563183086731315,-0.4305207030310165,1,1
-0.2156022004808777,-0.4080684895409681,1,1
-0.3453262382425955,-0.2117854792658784,1,1
-0.0463244798144396,-0.4448233851334164,1,1
-0.3211249526246611,0.3415871268847383,1,2
0.0245359738816979,-0.6743532654807126,0,1
-0.2882978042931194,0.405053585431289,1,2
-0.3404579421220596,0.3443453143977783,1,2
-0.3783453242736116,0.1053250726672183,1,2
0.0717360084899202,0.055355377628642,1,2
-0.0444332697373963,-0.1137124840597638,1,2
-0.4261799202160155,0.2455501819549209,1,2
0.0311020599171401,-0.3224470546100017,1,1
-0.0453591433233348,0.5274484509235465,2,2
-0.5494027871068935,-0.5520990136391339,1,1
0.0467304461992345,-1.729767412813724,0,0
-0.3454926293645018,-0.7234877212099896,1,1
-0.3327219115857318,-0.4957749032534537,1,1
-0.1878435845167821,0.0416169193544508,1,2
-0.6582447399953308,-0.9405498715837172,0,0
-0.2077989741475677,0.4022254293036876,1,2
-0.0379645620310956,-0.462450874971988,1,1
-0.4030657412008702,0.4447188148564877,1,2
-0.2062891744333543,-0.3669610293229517,1,1
0.044276794321415,-0.8590543389576845,0,1
-0.470798638192333,-0.9687289535144616,0,0
-0.4412887935000343,-1.4267185286983748,0,0
-0.1647913239789663,-0.7743501085723067,0,1
-0.3792703378718244,-0.12174876882824,1,1
-0.1518039996050644,-0.0176454844185665,1,2
-0.2363912973033426,0.6648378677379612,2,2
-0.2878064632925153,-0.6239588218626719,1,1
-0.1341580366636139,0.1926910690424285,1,2
0.1399418232778114,-1.922255130875584,0,0
-0.4861002488991093,-0.0095801582035322,1,2
0.1406234421108419,-0.4554771622043442,1,1
-0.1262894806773747,-0.4422118134256866,1,1
-0.1749478980120451,0.4137099161464981,2,2
-0.2362820142906448,-3.4179102766885694,0,0
-0.1264724922158648,-0.2976545673350794,1,1
-0.188287826628898,-0.8256524828447053,0,1
-0.2744618096881903,-0.6068444837904335,1,1
-0.0514933687762817,0.5669851996318348,2,2
-0.0530168880430716,-0.3824122899697046,1,1
-0.022840470440072,-0.9209212022509184,0,1
-0.2053715919438831,0.6198186589987902,2,2
-0.3633568886391042,-1.2851138576377403,0,0
-0.1026900909401251,0.3370741251442514,1,2
-0.0690712723330002,-0.1074225157897716,1,2
-0.0946750712231505,0.441403787681975,2,2
0.0420929391938693,0.4098215588661685,2,2
-0.3134848277624003,0.3198864900885506,1,2
-0.1049254797581625,0.5072428118216532,2,2
-0.1856985032893159,-0.273067322123153,1,1
-0.2495515735598419,-0.7325250414427267,1,1
0.0778849589685855,-0.2071757609327043,1,1
-0.0845048083518046,0.5153474506927441,2,2
-0.0370623400888314,-1.031262738454157,0,0
0.0569158415008169,-0.1932269889328784,1,1
-0.2812497133127329,-0.3962212292647495,1,1
-0.160683645972523,0.1587143978981383,1,2
-0.0557037212977176,-0.935069828573651,0,0
-0.2961845554136087,-0.9532746767776816,0,0
0.2393737518607199,-0.1046201445339636,1,2
-0.0903106794115409,-0.2401426186951558,1,1
-0.0324627620028494,0.1684836610664678,1,2
-0.058973922162662,0.2132553570157007,1,2
-0.248863412149868,-0.3915555475033873,1,1
-0.3591365360585294,-1.8648580454963417,0,0
-0.3593204002007323,-0.5969759538847353,1,1
-0.1763928804662194,-0.622056373446006,1,1
-0.2889792388868038,-0.4422007324280989,1,1
-0.2469948243256493,0.1758157245954721,1,2
-0.1323553204816235,0.6854089676493901,2,2
-0.3005221545736928,0.436687172570016,2,2
-0.1339357280081922,-0.1057028130096665,1,2
-0.1293233792555065,-0.953348189211068,0,0
-0.3427072283941068,0.0677371217509782,1,2
-0.4206760488956429,-1.273073539309101,0,0
-0.511299029420819,0.4983901739004299,2,2
-0.2581302620011894,0.1290911170841223,1,2
-0.0655986355877285,0.5350879933305854,2,2
-0.0280513130044618,-0.0253846009159191,1,2
-0.3248126672066394,-0.4205773634051533,1,1
-0.1174316976266556,0.0630487093644307,1,2
-0.2220052966932185,0.5054646492840854,2,2
-0.2307199956210704,-1.6806207467250942,0,0
-0.308036180777355,-0.7409861035166821,1,1
-0.1732291856359457,-0.7197828802741838,0,1
-0.0307499509273647,-1.5095736157526825,0,0
-0.3048270532553533,-1.256384479079167,0,0
-0.0439898281033902,-0.1807528191324161,1,1
-0.1386792811499911,-1.272998260958789,0,0
-0.1950003852457792,-0.2789838114255838,1,1
-0.2535184820974452,0.6544991486137297,2,2
-0.2052045694401237,0.1332139037702388,1,2
-0.1684053508813782,-1.973233382517798,0,0
0.2152911436611488,-2.1397524575697737,0,0
-0.2273599011405423,-0.4935104408228836,1,1
-0.0707377673942858,0.3452451637453755,1,2
-0.2621039823069762,-1.3375556159954718,0,0
-0.3371865616014405,-1.7322394934451226,0,0
-0.5592688104953477,-1.3183332812556636,0,0
-0.3423714263052675,0.3001272674008581,1,2
-0.2250815737715032,-0.5366504843586245,1,1
-0.1714902513981765,-1.4214292253535108,0,0
0.0276413867232166,-0.98967238512101,0,0
0.0037275489328632,0.6342739958792352,2,2
-0.2232216908616862,0.693740468287139,2,2
-0.4610392590717447,-1.3478326325377286,0,0
-0.1653926329826492,-0.0086704294519881,1,2
-0.5390174066768274,-1.4134132993813653,0,0
0.056980588043203,-0.0854935447668837,1,2
-0.3632574384127528,-1.0213515723517987,0,0
0.0171266852080575,0.2504709767253344,1,2
-0.3006009101230448,0.0762298535156909,1,2
-0.2523921260676265,-0.6417986683427394,1,1
-0.220130039399316,-0.5138165380712553,1,1
-0.1868025655275203,-0.3422292442160053,1,1
0.0122305196281037,-1.1451349828931163,0,0
-0.1936162581316927,-0.9137462486895248,0,1
-0.1256081290252103,0.1390557717476886,1,2
-0.0459327263661589,-1.3433412145981862,0,0
-0.2947454436169833,-0.6082702214964976,1,1
-0.0717654559371158,-2.044479126436563,0,0
-0.0713034339604824,0.1405960295385938,1,2
-0.3191652357719516,-0.6949902057291778,1,1
0.0810656043214149,0.6020280901698488,2,2
-0.1666484567645382,0.0165267086046758,1,2
0.0058358371971128,-1.910985155990352,0,0
-0.2773782954254973,-0.6623688061919846,1,1
0.2001153641130323,-0.7373749680986149,0,1
0.1469525550892569,-0.7507354629653004,0,1
-0.2558945632708864,0.6162658215245715,2,2
-0.1664339886368746,-0.4188536302816617,1,1
