PC1,PC2,Cluster,State
0.02748820032583281,0.6015533010258174,"(np.int64(1), np.int64(1))",Dangerous
0.024453402566001425,0.8809086861953697,"(np.int64(1), np.int64(0))",Dangerous
0.028150562182494343,0.5071110783180245,"(np.int64(0), np.int64(0))",Normal
0.06088404122138029,0.7979179968634904,"(np.int64(1), np.int64(0))",Dangerous
0.05831578244912806,0.8890432232902684,"(np.int64(1), np.int64(0))",Dangerous
0.017260594072810574,0.45923664671534525,"(np.int64(0), np.int64(0))",Normal
0.05069557027564951,0.5765133361292291,"(np.int64(1), np.int64(1))",Dangerous
0.046776180827901276,0.30408134640064144,"(np.int64(0), np.int64(1))",Warning
0.03268731955688872,0.6468849427643598,"(np.int64(1), np.int64(1))",Dangerous
0.04708550562148052,0.2908214194877405,"(np.int64(0), np.int64(1))",Warning
0.04120626437626895,0.4975676369960055,"(np.int64(0), np.int64(0))",Normal
0.027647369664420045,0.4569391336868261,"(np.int64(0), np.int64(0))",Normal
0.05971842179881873,0.5710881897967017,"(np.int64(1), np.int64(1))",Dangerous
0.05171287921630672,0.6618472404209315,"(np.int64(1), np.int64(0))",Dangerous
0.06440931049610964,0.5755905015393236,"(np.int64(1), np.int64(1))",Dangerous
0.051084121005145505,0.6454045108697128,"(np.int64(1), np.int64(1))",Dangerous
0.018159708882310978,0.4529686019674855,"(np.int64(0), np.int64(0))",Normal
0.032969552659898094,0.484591114849388,"(np.int64(0), np.int64(0))",Normal
0.061851298200190356,0.5591631795562436,"(np.int64(1), np.int64(1))",Dangerous
0.05418863752996527,0.7339268692725975,"(np.int64(1), np.int64(0))",Dangerous
0.05115689609955629,0.8268985473782153,"(np.int64(1), np.int64(0))",Dangerous
0.10019494637051615,0.4138742855404449,"(np.int64(0), np.int64(1))",Warning
0.04618689320395513,0.8403385936903593,"(np.int64(1), np.int64(0))",Dangerous
0.06641602624865452,0.5128083327814033,"(np.int64(0), np.int64(0))",Normal
0.0634546413810419,0.8338325442621345,"(np.int64(1), np.int64(0))",Dangerous
0.04928395707684699,0.6322563277313671,"(np.int64(1), np.int64(1))",Dangerous
0.036428247768179364,0.6811294492739721,"(np.int64(1), np.int64(0))",Dangerous
0.054500873081287024,0.6205322965822332,"(np.int64(1), np.int64(1))",Dangerous
0.03167880753811733,0.45724948358658324,"(np.int64(0), np.int64(0))",Normal
0.040102419570383865,0.4742100158924626,"(np.int64(0), np.int64(0))",Normal
0.05037200966098408,0.578706380365395,"(np.int64(1), np.int64(1))",Dangerous
0.04086287327972982,0.3988377379005478,"(np.int64(0), np.int64(1))",Warning
0.07923038555394493,0.5839904842259729,"(np.int64(1), np.int64(1))",Dangerous
0.011099123495600029,0.6141183429028347,"(np.int64(1), np.int64(1))",Dangerous
0.05717248260941395,0.6451527086318263,"(np.int64(1), np.int64(1))",Dangerous
0.017589948810319715,0.5951515294264665,"(np.int64(1), np.int64(1))",Dangerous
0.03317104011592387,0.6180172562581812,"(np.int64(1), np.int64(1))",Dangerous
0.0690794003340131,0.46926185828068473,"(np.int64(0), np.int64(0))",Normal
0.05379419174604612,0.46511443391592827,"(np.int64(0), np.int64(0))",Normal
0.023583837722309674,0.7216308342144981,"(np.int64(1), np.int64(0))",Dangerous
0.020717083652314096,0.5413255600622806,"(np.int64(1), np.int64(1))",Dangerous
0.05764286209013803,0.3061868269620598,"(np.int64(0), np.int64(1))",Warning
0.029940554062991856,0.5824040054812389,"(np.int64(1), np.int64(1))",Dangerous
0.054897176148454775,0.49593692306943166,"(np.int64(0), np.int64(0))",Normal
0.03412111143639947,0.4554598378007081,"(np.int64(0), np.int64(0))",Normal
0.0350566776225036,0.48186642423677273,"(np.int64(0), np.int64(0))",Normal
0.07137736045860552,0.514140057742441,"(np.int64(0), np.int64(0))",Normal
0.055872267474956466,0.39747739502906654,"(np.int64(0), np.int64(1))",Warning
0.010758380111049577,0.48469358877480284,"(np.int64(0), np.int64(0))",Normal
0.042836001240687246,0.4883363824795107,"(np.int64(0), np.int64(0))",Normal
0.03086400076730978,0.5201826195771636,"(np.int64(0), np.int64(0))",Normal
0.05845834068461807,0.4823730282498393,"(np.int64(0), np.int64(0))",Normal
0.03309749432697261,0.6099654041091531,"(np.int64(1), np.int64(1))",Dangerous
0.044104198950071435,0.9089879500684291,"(np.int64(1), np.int64(0))",Dangerous
0.06499792579028804,0.44513260188643966,"(np.int64(0), np.int64(0))",Normal
